destination,continent,country,city
Bintang Warisan Hotel,Asia,Malaysia,Kuala Lumpur
Hotel Solverde Porto,Europe,Portugal,Porto
Palace Hotel do Bussaco,Europe,Portugal,Porto
"Dialogue Center ""Upheavals""",Europe,Poland,Szczecin
Poznan Zoo,Europe,Poland,Poznan
The Pavilions,Europe,Poland,Warsaw
"Parkingowa, Żurawia and Nowogrodzka Streets",Europe,Poland,Warsaw
Mazowiecka Street,Europe,Poland,Warsaw
Clubs by the Vistula,Europe,Poland,Warsaw
Galeria Mokotów,Europe,Poland,Warsaw
Kredytowa Street,Europe,Poland,Warsaw
Fashion House Outlet Centre,Europe,Poland,Warsaw
Vitkac,Europe,Poland,Warsaw
Złote Tarasy,Europe,Poland,Warsaw
3 Mysia Street,Europe,Poland,Warsaw
Annopol and Ursus Outlet Factory,Europe,Poland,Warsaw
Borsch,Europe,Poland,Warsaw
Three Crosses Square,Europe,Poland,Warsaw
Mokotowska Street,Europe,Poland,Warsaw
Arkadia,Europe,Poland,Warsaw
Chłodnik (cold soup),Europe,Poland,Warsaw
Night market,Europe,Poland,Warsaw
Żurek,Europe,Poland,Warsaw
Pyzy,Europe,Poland,Warsaw
Pierogi,Europe,Poland,Warsaw
Pork knuckle in jelly,Europe,Poland,Warsaw
Zygmuntówka,Europe,Poland,Warsaw
Herring Warsaw-Style,Europe,Poland,Warsaw
Chocolate by Wedel,Europe,Poland,Warsaw
Doughnuts,Europe,Poland,Warsaw
W-Z cake,Europe,Poland,Warsaw
Hala Koszyki,Europe,Poland,Warsaw
Illumination,Europe,Poland,Warsaw
Singer’s Warsaw Festival of Jewish Culture,Europe,Poland,Warsaw
Hush Warsaw - Fashion & Design Fairs,Europe,Poland,Warsaw
Warsaw Marathons,Europe,Poland,Warsaw
Garlands on the Vistula,Europe,Poland,Warsaw
Warsaw Restaurant Week,Europe,Poland,Warsaw
Orange Warsaw Festival,Europe,Poland,Warsaw
Warsaw Film Festival,Europe,Poland,Warsaw
The Cross-Culture Warsaw Festival,Europe,Poland,Warsaw
Chopin’s Music Concerts at Łazienki Royal Park,Europe,Poland,Warsaw
Jazz in the Old Town International Festival,Europe,Poland,Warsaw
Veturilko,Europe,Poland,Warsaw
Copernicus Science Centre and Planetarium,Europe,Poland,Warsaw
The University of Warsaw Library Garden,Europe,Poland,Warsaw
Multimedia Fountain Park,Europe,Poland,Warsaw
Playgrounds and outdoor sports gyms,Europe,Poland,Warsaw
Dollhouse Museum,Europe,Poland,Warsaw
Zoo,Europe,Poland,Warsaw
POLIN Museum of the History of Polish Jews,Europe,Poland,Warsaw
The National Museum,Europe,Poland,Warsaw
Palace of Culture and Science,Europe,Poland,Warsaw
Fryderyk Chopin Museum,Europe,Poland,Warsaw
Museum of King Jan III's Palace at Wilanów,Europe,Poland,Warsaw
Copernicus Science Centre and Planetarium,Europe,Poland,Warsaw
Łazienki Royal Park,Europe,Poland,Warsaw
The Vistula Boulevards,Europe,Poland,Warsaw
The Warsaw Rising Museum,Europe,Poland,Warsaw
The Old Town,Europe,Poland,Warsaw
Fashion House Outlet Centre,Europe,Poland,Warsaw
Galeria Mokotów,Europe,Poland,Warsaw
Arkadia,Europe,Poland,Warsaw
Złote Tarasy,Europe,Poland,Warsaw
Vitkac,Europe,Poland,Warsaw
Żurek,Europe,Poland,Warsaw
Pierogi,Europe,Poland,Warsaw
Zygmuntówka,Europe,Poland,Warsaw
Pyzy,Europe,Poland,Warsaw
Hala Koszyki,Europe,Poland,Warsaw
Warsaw Restaurant Week,Europe,Poland,Warsaw
Warsaw Film Festival,Europe,Poland,Warsaw
Hala Koszyki,Europe,Poland,Warsaw
Soho Factory,Europe,Poland,Warsaw
Murals and street art,Europe,Poland,Warsaw
City cruises in old cars from communist times,Europe,Poland,Warsaw
The University of Warsaw Library Garden,Europe,Poland,Warsaw
The Charm of PRL - Museum of Life under Communism,Europe,Poland,Warsaw
Zoo,Europe,Poland,Warsaw
Central Agricultural Library,Europe,Poland,Warsaw
The Vistula Embankment,Europe,Poland,Warsaw
Church of the Visitation of the Most Blessed Virgin Mary,Europe,Poland,Warsaw
Maria Skłodowska-Curie Museum,Europe,Poland,Warsaw
SPA_larnia,Europe,Poland,Poznan
City Park Hotel & Residence,Europe,Poland,Poznan
Harmonia SPA – IBB Andersia Hotel,Europe,Poland,Poznan
SPA 1306 - Termy Maltańskie,Europe,Poland,Poznan
Church of St. Nicholas the Bishop in Skoki,Europe,Poland,Poznan
Poznań Episcopal Palace in Buk,Europe,Poland,Poznan
Tulce Sanctuary,Europe,Poland,Poznan
Baszta Halszki (Museum – Górków Castle),Europe,Poland,Poznan
„Octopus” Aquapark in Suchy Las,Europe,Poland,Poznan
The water tower,Europe,Poland,Poznan
Museum of Greater Poland Uprising in Lusowo,Europe,Poland,Poznan
Church in Gułtowy,Europe,Poland,Poznan
Beekeeping Museum,Europe,Poland,Poznan
Airstrip in Słonawy,Europe,Poland,Poznan
Windmill w Rogierówko,Europe,Poland,Poznan
"Lakes Gackie, Borowe, Książe and Dzwonowskie",Europe,Poland,Poznan
Stronhold Pobiedziska,Europe,Poland,Poznan
DELI Park,Europe,Poland,Poznan
Śnieżycowy Jar Floral Reserve,Europe,Poland,Poznan
SPA_larnia DAY SPA,Europe,Poland,Poznan
Trzcielinskie Bagno Ornithological Reserve,Europe,Poland,Poznan
Luboń Industrial Architecture Trail,Europe,Poland,Poznan
Camping Hotel Malta,Europe,Poland,Poznan
Arkady Fiedler's Museum and Literary Atelier,Europe,Poland,Poznan
Oak Trees of Rogalin,Europe,Poland,Poznan
National Museum of Agriculture and Agricultural-Food Industry in Szreniawia,Europe,Poland,Poznan
"""Puszcza Zielonka"" Landscape Park",Europe,Poland,Poznan
Former Cistercian Church and Monastery in Owińska,Europe,Poland,Poznan
Trolley Rail in Mosina,Europe,Poland,Poznan
Będlewo Palace and Conference Center,Europe,Poland,Poznan
Wielkopolski National Park,Europe,Poland,Poznan
Tarnowskie Thermal Baths,Europe,Poland,Poznan
Museum Palace in Rogalin,Europe,Poland,Poznan
Dziewicza Góra Observation Tower,Europe,Poland,Poznan
Castle in Kórnik,Europe,Poland,Poznan
The Kórnik Arboretum,Europe,Poland,Poznan
Blooms Boutique Hostel Inn & Apartments,Europe,Poland,Poznan
Poco Loco Hostel,Europe,Poland,Poznan
Tey Hostel,Europe,Poland,Poznan
Soda Hostel,Europe,Poland,Poznan
Retro Hostel,Europe,Poland,Poznan
Hotel Rzymski,Europe,Poland,Poznan
Hotel Brovaria,Europe,Poland,Poznan
Hotel Wloski,Europe,Poland,Poznan
Hotel Ibis,Europe,Poland,Poznan
Platinum Palace Residence,Europe,Poland,Poznan
Hotel Moderno,Europe,Poland,Poznan
Hotel Stare Miasto,Europe,Poland,Poznan
Novotel Poznań Centrum,Europe,Poland,Poznan
Novotel Poznań Malta,Europe,Poland,Poznan
Blow Up Hall 5050,Europe,Poland,Poznan
Hotel DeSilva Premium Poznań,Europe,Poland,Poznan
Boutique Hotel HOT_elarnia,Europe,Poland,Poznan
Hotel NH Poznan,Europe,Poland,Poznan
Don Prestige Residence,Europe,Poland,Poznan
IBB Hotel Andersia,Europe,Poland,Poznan
City Solei Boutique Hotel,Europe,Poland,Poznan
Sheraton Poznan Hotel,Europe,Poland,Poznan
Hotel Vivaldi,Europe,Poland,Poznan
Hotel HP Park,Europe,Poland,Poznan
Hotel Kolegiacki,Europe,Poland,Poznan
Hotel Mercure Poznan Centrum ,Europe,Poland,Poznan
Edison Hotel,Europe,Poland,Poznan
City Park Hotel & Residence,Europe,Poland,Poznan
Puro Hotel,Europe,Poland,Poznan
Rynek Wielkopolski,Europe,Poland,Poznan
Zielony Targ,Europe,Poland,Poznan
Stara Rzeźnia,Europe,Poland,Poznan
Salon Posnania,Europe,Poland,Poznan
Posnania,Europe,Poland,Poznan
Stary Browar,Europe,Poland,Poznan
Old Market Square,Europe,Poland,Poznan
Brovaria,Europe,Poland,Poznan
Shisha Beirut,Europe,Poland,Poznan
Cuba Libre,Europe,Poland,Poznan
W Starym Kinie,Europe,Poland,Poznan
Klub Dragon,Europe,Poland,Poznan
Blue Note,Europe,Poland,Poznan
SomePlace Else,Europe,Poland,Poznan
Pod Minogą,Europe,Poland,Poznan
SQ,Europe,Poland,Poznan
Opcja,Europe,Poland,Poznan
Muchos,Europe,Poland,Poznan
Kosmos,Europe,Poland,Poznan
Słodownia,Europe,Poland,Poznan
Czekolada,Europe,Poland,Poznan
Republica Cacao,Europe,Poland,Poznan
Herbaciarnia Chimera,Europe,Poland,Poznan
Café Farma,Europe,Poland,Poznan
Stragan Kawiarnia,Europe,Poland,Poznan
Gołębnik,Europe,Poland,Poznan
Caffe Bimba,Europe,Poland,Poznan
Brisman Kawowy Bar,Europe,Poland,Poznan
La Ruina,Europe,Poland,Poznan
Zielona Weranda,Europe,Poland,Poznan
Różove,Europe,Poland,Poznan
Ptasie Radio,Europe,Poland,Poznan
Spot,Europe,Poland,Poznan
Republika Róż,Europe,Poland,Poznan
Herbaciarnia Chimera,Europe,Poland,Poznan
Tawerna Mykonos,Europe,Poland,Poznan
Kyokai Sushi Bar,Europe,Poland,Poznan
Dark Restaurant,Europe,Poland,Poznan
Tratoria Donatello,Europe,Poland,Poznan
Brovaria,Europe,Poland,Poznan
Spaghetteria AVANTI,Europe,Poland,Poznan
Pyra Bar,Europe,Poland,Poznan
Swieta Krowa,Europe,Poland,Poznan
Figaro Ristorante,Europe,Poland,Poznan
Cucina,Europe,Poland,Poznan
BulwaR,Europe,Poland,Poznan
Modra,Europe,Poland,Poznan
Piano Bar,Europe,Poland,Poznan
Ratuszova,Europe,Poland,Poznan
Wypas,Europe,Poland,Poznan
Bordo restaurant & cafe,Europe,Poland,Poznan
Matii Sushi,Europe,Poland,Poznan
Whiskey in the Jar,Europe,Poland,Poznan
Taj India,Europe,Poland,Poznan
Bo.Poznan,Europe,Poland,Poznan
Pierozak,Europe,Poland,Poznan
Bamberka,Europe,Poland,Poznan
Ptasie Radio,Europe,Poland,Poznan
A nóż widelec,Europe,Poland,Poznan
Hyćka,Europe,Poland,Poznan
Bar a Boo,Europe,Poland,Poznan
Kuchnia Wandy,Europe,Poland,Poznan
Kinoteatr Apollo,Europe,Poland,Poznan
Kino Muza,Europe,Poland,Poznan
Kino Rialto,Europe,Poland,Poznan
Wyczesane Porki / MO.BAR,Europe,Poland,Poznan
Ethno Port Festival,Europe,Poland,Poznan
Musical Theater,Europe,Poland,Poznan
Poznań Philharmonic Orchestra,Europe,Poland,Poznan
Nowy Theatre,Europe,Poland,Poznan
Grand Theater,Europe,Poland,Poznan
Polish Theater,Europe,Poland,Poznan
ZAMEK Culture Centre,Europe,Poland,Poznan
Poznan Fortress Days,Europe,Poland,Poznan
November 11th Święty Marcin Street,Europe,Poland,Poznan
Malta Festival Poznań,Europe,Poland,Poznan
Half Price Poznan,Europe,Poland,Poznan
Pyrland Park Ropes Course,Europe,Poland,Poznan
SKODA Auto Lab - Interactive Safety Center,Europe,Poland,Poznan
Municipal Gallery Arsenał,Europe,Poland,Poznan
Malta Ski,Europe,Poland,Poznan
Museum of Arms,Europe,Poland,Poznan
Poznań Army Museum,Europe,Poland,Poznan
"Museum for Wielkopolska Martyrs, Fort VII",Europe,Poland,Poznan
Museum of the Wielkopolska Uprising of 1918-1919,Europe,Poland,Poznan
Palm House,Europe,Poland,Poznan
Museum of the Poznan June 1956 Events,Europe,Poland,Poznan
Poznań Stadium,Europe,Poland,Poznan
Poznan Botanical Gardens,Europe,Poland,Poznan
Citadel Park,Europe,Poland,Poznan
Model of Historic Poznań,Europe,Poland,Poznan
Malta Thermal Baths,Europe,Poland,Poznan
Lake Malta,Europe,Poland,Poznan
Malta Miniature Rail,Europe,Poland,Poznan
ZAMEK Culture Centre,Europe,Poland,Poznan
Poznan Archaeological Museum,Europe,Poland,Poznan
Poznań Croissant Museum,Europe,Poland,Poznan
Military Museum of Wielkopolska,Europe,Poland,Poznan
Museum of Applied Arts,Europe,Poland,Poznan
Museum of Etnography,Europe,Poland,Poznan
Poznan Historical Museum,Europe,Poland,Poznan
National Museum,Europe,Poland,Poznan
Freedom Square (Plac Wolności),Europe,Poland,Poznan
3D Mural - Śródka,Europe,Poland,Poznan
The Cathedral,Europe,Poland,Poznan
Porta Posnania,Europe,Poland,Poznan
Town Hall,Europe,Poland,Poznan
Pyrland Park Ropes Course,Europe,Poland,Poznan
SKODA Auto Lab - Interactive Safety Center,Europe,Poland,Poznan
St. Stanislaw's Parish Church,Europe,Poland,Poznan
Malta Ski,Europe,Poland,Poznan
DELI Park,Europe,Poland,Poznan
„Octopus” Aquapark in Suchy Las,Europe,Poland,Poznan
Poznan Botanical Gardens,Europe,Poland,Poznan
Beekeeping Museum,Europe,Poland,Poznan
Malta Thermal Baths,Europe,Poland,Poznan
Malta Miniature Rail,Europe,Poland,Poznan
Poznan Archaeological Museum,Europe,Poland,Poznan
Tarnowskie Thermal Baths,Europe,Poland,Poznan
Poznań Croissant Museum,Europe,Poland,Poznan
Model of Historic Poznań,Europe,Poland,Poznan
Museum of Applied Arts,Europe,Poland,Poznan
Arkady Fiedler's Museum and Literary Atelier,Europe,Poland,Poznan
National Museum,Europe,Poland,Poznan
Porta Posnania,Europe,Poland,Poznan
Museum Palace in Rogalin,Europe,Poland,Poznan
Copernicus,Europe,Poland,Krakow
Rt Hotel Regent,Europe,Poland,Krakow
Euro-Room Hostel,Europe,Poland,Krakow
Swieta Krowa,Europe,Poland,Krakow
C.K. Browar,Europe,Poland,Krakow
Harris Piano Jazz Bar,Europe,Poland,Krakow
Corleone,Europe,Poland,Krakow
Jama Michalika,Europe,Poland,Krakow
Restauracja Sasiedzi,Europe,Poland,Krakow
U Ziyada,Europe,Poland,Krakow
Wesoła Cafe,Europe,Poland,Krakow
Mleczarnia,Europe,Poland,Krakow
Chimera,Europe,Poland,Krakow
Big Hat of Coffee,Europe,Poland,Krakow
Budda Drink & Garden Bar,Europe,Poland,Krakow
Cyrano de Bergerac,Europe,Poland,Krakow
Czartoryski Museum,Europe,Poland,Krakow
Gruzińskie Chaczapuri,Europe,Poland,Krakow
Wierzynek,Europe,Poland,Krakow
St. Florian's Gate,Europe,Poland,Krakow
Town Hall Tower,Europe,Poland,Krakow
Old Synagogue,Europe,Poland,Krakow
Church of St. Adalbert,Europe,Poland,Krakow
Zielony Targ,Europe,Poland,Poznan
Salon Posnania,Europe,Poland,Poznan
Citadel Park,Europe,Poland,Poznan
Porta Posnania,Europe,Poland,Poznan
City Hostel,Europe,Poland,Szczecin
Marina Hotele Przestrzenna,Europe,Poland,Szczecin
Luksus Apartamenty - Mariacka,Europe,Poland,Szczecin
Hotel Panorama,Europe,Poland,Szczecin
SZTUKAteria,Europe,Poland,Szczecin
Hotel Atrium,Europe,Poland,Szczecin
Pokoje Integro,Europe,Poland,Szczecin
Campanile Szczecin Hotel,Europe,Poland,Szczecin
Boncza Hotel,Europe,Poland,Szczecin
Novotel Szczecin,Europe,Poland,Szczecin
Bachus,Europe,Poland,Szczecin
Radisson Blu Hotel,Europe,Poland,Szczecin
Irish Pub Dublin,Europe,Poland,Szczecin
Boston Pub,Europe,Poland,Szczecin
Hormon,Europe,Poland,Szczecin
Ceglana,Europe,Poland,Szczecin
Exp Pub & Games Room,Europe,Poland,Szczecin
Taverna Cutty Sark,Europe,Poland,Szczecin
Cafe Castellari,Europe,Poland,Szczecin
Cafe Symfonia,Europe,Poland,Szczecin
Francuzka,Europe,Poland,Szczecin
Bike Cafe,Europe,Poland,Szczecin
Restauracja Secesja Cafe,Europe,Poland,Szczecin
Mąka Bar,Europe,Poland,Szczecin
Spiżarnia Szczecińska,Europe,Poland,Szczecin
Mała Tumska,Europe,Poland,Szczecin
Jak Malina,Europe,Poland,Szczecin
Cafe 22,Europe,Poland,Szczecin
Marshal Food,Europe,Poland,Szczecin
Francuzka,Europe,Poland,Szczecin
Prasad,Europe,Poland,Szczecin
Vege Club Amar,Europe,Poland,Szczecin
BE HAPPY Sweet Art & Illusion Museum,Europe,Poland,Szczecin
Historical Cellars of Starka,Europe,Poland,Szczecin
The Eureka Foundation of Professor Jerzy Stelmach,Europe,Poland,Szczecin
Jasne Błonia,Europe,Poland,Szczecin
Pionier 1907 Cinema,Europe,Poland,Szczecin
Comorants' forest,Europe,Poland,Szczecin
Sea eagle,Europe,Poland,Szczecin
Miedzyodrze by kayak,Europe,Poland,Szczecin
Central Cementery,Europe,Poland,Szczecin
Summer Theatre,Europe,Poland,Szczecin
Rose Garden 'Rozanka',Europe,Poland,Szczecin
Orion's Squares,Europe,Poland,Szczecin
TRAFO Center for Contemporary Art,Europe,Poland,Szczecin
"Szczecin Goods ""Stettiner Waren""",Europe,Poland,Szczecin
Museum of Technology and Transport,Europe,Poland,Szczecin
National Museum in Szczecin,Europe,Poland,Szczecin
The Theatre of Contemporary Arts,Europe,Poland,Szczecin
Szczecin Philharmonic,Europe,Poland,Szczecin
The Odra River boulevards,Europe,Poland,Szczecin
Urban Summer Zone,Europe,Poland,Szczecin
m/s Joanna,Europe,Poland,Szczecin
Łasztownia isle,Europe,Poland,Szczecin
Szczecin's Venice,Europe,Poland,Szczecin
Discover Szczecin… from the waterside,Europe,Poland,Szczecin
"The Tourist Tram Line ""0""",Europe,Poland,Szczecin
Orthodox Church,Europe,Poland,Szczecin
The Harbour Gate,Europe,Poland,Szczecin
Szczecin's Underground Tourist Routes,Europe,Poland,Szczecin
The Angel of Freedom,Europe,Poland,Szczecin
Gothic Church of St. John the Evangelist,Europe,Poland,Szczecin
Sightseeing the building of the Westpomeranian Governor's Office,Europe,Poland,Szczecin
Szczecin in brief,Europe,Poland,Szczecin
Chrobry Embankment (Haken's Terrace),Europe,Poland,Szczecin
Szczecin Jazz Festival,Europe,Poland,Szczecin
New Year´s Eve 2020,Europe,Poland,Szczecin
Szczecin Christmas Fair,Europe,Poland,Szczecin
Picnic on the Oder River,Europe,Poland,Szczecin
Pyromagic Watershow Szczecin Music Live,Europe,Poland,Szczecin
BE HAPPY Sweet Art & Illusion Museum,Europe,Poland,Szczecin
Museum of Technology and Transport,Europe,Poland,Szczecin
Szczecin Philharmonic,Europe,Poland,Szczecin
"Dialogue Center ""Upheavals""",Europe,Poland,Szczecin
Chrobry Embankment (Haken's Terrace),Europe,Poland,Szczecin
m/s Joanna,Europe,Poland,Szczecin
